Open,High,Low,Close,Adj Close,Volume
52.450001,52.529999,51.27,51.650002,51.02412,34625400
51.290001,52.240002,51.25,51.540001,50.915451,32925000
51.900002,53.849998,51.560001,53.240002,52.594849,39883900
59.5,60.25,56.900002,56.950001,56.259895,124070700
58.450001,60.139999,57.84,59.25,58.532021,74680900
58.849998,59.650002,57.5,57.580002,56.882259,50265400
57.939999,58.34,57.099998,57.990002,57.287292,35647100
58.240002,59.220001,58.09,58.669998,57.959049,28701300
59.040001,63.950001,58.220001,62.459999,61.703121,86519500
58.849998,59.619999,56.650002,56.66,55.973404,85729300
56.380001,56.5,54.060001,55.439999,54.768188,61968500
55.279999,56.200001,54.849998,55.209999,54.540977,31485900
54.610001,54.849998,53.299999,53.59,52.940609,49722900
54.790001,57.400002,54.700001,56.07,55.390556,49202600
55.98,57.16,55.360001,55.509998,54.837341,37256200
55.950001,57.389999,55.709999,56.689999,56.00304,26926600
57.189999,58.279999,56.880001,58,57.297169,23580900
57.889999,58.330002,57.380001,57.68,56.981049,21893200
57.610001,58.880001,57.189999,58.790001,58.430122,29853800
59,59.080002,58.119999,58.18,57.823856,23432600
58.380001,59.220001,57.950001,59.16,58.797859,34358300
58.77,59.310001,57.939999,58.779999,58.420181,28754100
59.299999,59.419998,58.119999,58.860001,58.499695,16325100
59.099998,60.990002,58.860001,60.66,60.288677,27539100
60.599998,62.509998,60.43,61.810001,61.431637,26214200
62,62.869999,61.700001,62.470001,62.087597,26326300
61.490002,62.189999,61.209999,61.849998,61.47139,21055400
60.650002,61.98,60.639999,61.610001,61.232861,17846100
61.91,63.259998,61.849998,63.009998,62.62429,28290100
61.880001,62.700001,60.66,60.709999,60.338367,32288200
60.48,61.5,59.169998,61.119999,60.745861,27374600
60.529999,63.279999,60.380001,63.189999,62.803188,24669900
62.41,63.540001,60.130001,60.400002,60.03027,36394000
60.889999,61.689999,59.68,60.779999,60.40794,38216800
61.720001,63.080002,61.650002,62.880001,62.495087,28495400
62.799999,63.139999,61.110001,61.240002,60.865128,23320000
60.639999,61.52,59.700001,59.900002,59.533329,28740400
59.830002,60.240002,57.91,58.330002,57.972942,40210400
59.259998,61.18,58.509998,60.740002,60.368187,39511700
60.470001,61.700001,59.720001,59.849998,59.483631,33112400
61.18,63.169998,60.84,62.669998,62.286369,36387500
63.220001,64.120003,62.130001,62.25,61.868942,27160300
62.939999,64.089996,62.389999,63.310001,62.922455,30701800
62.650002,63.299999,62.240002,62.900002,62.514965,20173000
63.610001,63.880001,62.48,63.790001,63.399517,21247400
64.150002,65.730003,64.080002,64.779999,64.383453,30186600
64.220001,66.290001,63.709999,65.779999,65.377335,32394700
65.629997,65.699997,63.650002,63.73,63.339882,30094200
63.18,64.989998,62.919998,63.759998,63.369698,54951700
64.82,66.379997,64.559998,65.629997,65.228249,34380100
66,66.050003,63.169998,63.48,63.091412,35160000
66.580002,67.440002,61.990002,62.040001,61.660229,74584700
61.66,62.439999,60.98,62.02,61.64035,35401400
61.799999,64.970001,61.77,64.870003,64.472908,34705800
64.010002,65.129997,63.610001,64.5,64.105171,26161600
63.77,64,63.150002,63.77,63.379639,20709500
64.010002,64.489998,63.580002,64,63.608231,33013200
64.720001,64.889999,63.580002,64.550003,64.154869,31416300
64.949997,66.739998,64.699997,66.540001,66.132683,27947500
66.059998,66.580002,65.290001,65.559998,65.158676,28771400
65.669998,66.57,65.360001,66.25,65.84446,17793300
66.970001,67.290001,66.360001,67.050003,66.639565,22224200
66.800003,68.400002,66.629997,68.260002,67.842155,27177100
68.199997,68.489998,64.709999,65.410004,65.009605,51266900
65.610001,65.629997,64.209999,65.220001,64.820763,26822000
